,vidname,real,predict0,predict1
157,000598,0,79.96,20.04
158,001812,0,86.72,13.28
159,002499,0,89.23,10.77
160,002036,0,86.57,13.43
161,000759,0,81.55,18.45
162,001815,0,90.71,9.29
163,001224,0,87.04,12.96
164,000153,0,90.96,9.04
165,000508,0,87.53,12.47
166,000154,0,89.09,10.91
167,002603,0,76.99,23.01
168,001240,0,92.03,7.97
169,001276,0,85.94,14.06
170,001420,0,86.4,13.6
171,002090,0,84.42,15.58
172,001427,0,90.4,9.6
173,002400,0,70.72,29.28
174,000501,0,84.69,15.31
175,002269,0,81.25,18.75
176,000932,0,91.6,8.4
177,000555,0,87.33,12.67
178,002498,0,90.01,9.99
179,001813,0,90.7,9.3
180,001480,0,90.53,9.47
181,002453,0,87.95,12.05
182,000794,0,84.43,15.57
183,001825,0,91.04,8.96
184,002001,0,92.06,7.94
185,000138,0,92.54,7.46
186,002039,0,85.82,14.18
187,002234,0,80.33,19.67
188,000940,0,86.13,13.87
189,002089,0,89.87,10.13
190,000371,0,88.46,11.54
191,002614,0,87.0,13.0
192,001401,0,81.31,18.69
193,001861,0,92.28,7.72
194,002283,0,88.18,11.82
195,000712,0,86.9,13.1
196,001259,0,84.04,15.96
197,001857,0,79.98,20.02
198,001868,0,84.74,15.26
199,001054,0,81.31,18.69
200,001266,0,82.21,17.79
201,001292,0,91.86,8.14
202,000724,0,84.19,15.81
203,002410,0,88.8,11.2
204,002080,0,91.06,8.94
205,002020,0,83.91,16.09
206,002212,0,86.5,13.5
207,000545,0,84.99,15.01
208,001038,0,72.88,27.12
209,002671,0,90.79,9.21
210,001490,0,90.53,9.47
211,002824,0,85.36,14.64
212,001660,0,89.46,10.54
213,002223,0,89.48,10.52
214,001694,0,90.65,9.35
215,000322,0,74.03,25.97
216,001835,0,89.3,10.7
217,002640,0,87.41,12.59
218,000325,0,78.64,21.36
219,002016,0,91.83,8.17
220,001031,0,87.29,12.71
221,002815,0,81.0,19.0
222,000128,0,88.88,11.12
223,001832,0,90.46,9.54
224,002882,0,86.59,13.41
225,001851,0,85.99,14.01
226,000977,0,91.17,8.83
227,002278,0,90.43,9.57
228,001436,0,91.74,8.26
229,002075,0,59.47,40.53
230,002247,0,89.2,10.8
231,001258,0,83.15,16.85
232,000341,0,93.93,6.07
233,002240,0,90.64,9.36
234,002072,0,88.19,11.81
235,001603,0,86.04,13.96
236,000187,0,90.6,9.4
237,002276,0,86.38,13.62
238,000713,0,90.98,9.02
239,002878,0,90.38,9.62
240,000377,0,78.75,21.25
241,000383,0,88.25,11.75
242,001400,0,74.84,25.16
243,000142,0,90.49,9.51
244,000370,0,86.19,13.81
245,002271,0,72.49,27.51
246,000526,0,69.05,30.95
247,001666,0,92.9,7.1
248,002010,0,86.29,13.71
249,000747,0,90.99,9.01
250,001205,0,89.81,10.19
251,000778,0,64.54,35.46
252,002813,0,82.06,17.94
253,001834,0,85.46,14.54
254,001465,0,87.81,12.19
255,000924,0,87.84,12.16
256,002683,0,89.1,10.9
257,001462,0,91.21,8.79
258,000782,0,91.34,8.66
259,000544,0,83.13,16.87
260,002021,0,79.63,20.37
261,000312,0,85.19,14.81
262,001805,0,86.09,13.91
263,000260,0,87.07,12.93
264,002705,0,91.04,8.96
265,001528,0,81.0,19.0
266,001725,0,85.3,14.7
267,000603,0,75.36,24.64
268,000431,0,86.71,13.29
269,000055,0,90.18,9.82
270,001187,0,90.27,9.73
271,002961,0,91.07,8.93
272,002196,0,96.05,3.95
273,001713,0,91.05,8.95
274,001979,0,89.53,10.47
275,002162,0,86.06,13.94
276,000867,0,85.47,14.53
277,002966,0,90.14,9.86
278,000893,0,82.17,17.83
279,002357,0,83.01,16.99
280,002959,0,90.41,9.59
281,001384,0,90.44,9.56
282,000256,0,84.22,15.78
283,000064,0,60.16,39.84
284,000858,0,90.52,9.48
285,001116,0,90.53,9.47
286,001740,0,89.08,10.92
287,000659,0,89.1,10.9
288,001129,0,89.31,10.69
289,000205,0,91.05,8.95
290,001778,0,87.27,12.73
291,001543,0,87.49,12.51
292,002100,0,90.29,9.71
293,001785,0,79.75,20.25
294,002756,0,82.98,17.02
295,000668,0,92.53,7.47
296,001588,0,88.04,11.96
297,000234,0,91.07,8.93
298,001782,0,90.7,9.3
299,001776,0,84.29,15.71
300,001544,0,90.01,9.99
301,001120,0,70.45,29.55
302,001749,0,85.49,14.51
303,001940,0,90.1,9.9
304,000268,0,85.7,14.3
305,002958,0,60.36,39.64
306,000401,0,84.91,15.09
307,002960,0,87.07,12.93
308,002351,0,83.04,16.96
309,002163,0,85.8,14.2
310,002197,0,88.3,11.7
311,001712,0,89.37,10.63
312,002367,0,89.96,10.04
313,000266,0,89.11,10.89
314,000868,0,90.79,9.21
315,000292,0,86.42,13.58
316,001172,0,82.23,17.77
317,001724,0,81.5,18.5
318,001378,0,90.91,9.09
319,001976,0,89.89,10.11
320,001982,0,90.47,9.53
321,001949,0,82.92,17.08
322,001175,0,85.89,14.11
323,001347,0,88.96,11.04
324,002704,0,90.56,9.44
325,000261,0,86.55,13.45
326,002139,0,90.61,9.39
327,001126,0,89.38,10.62
328,001542,0,76.67,23.33
329,001925,0,89.5,10.5
330,002553,0,90.78,9.22
331,001580,0,90.73,9.27
332,002795,0,85.43,14.57
333,002108,0,90.53,9.47
334,002598,0,92.03,7.97
335,001913,0,93.64,6.36
336,000499,0,88.66,11.34
337,001779,0,91.01,8.99
338,001573,0,89.14,10.86
339,000667,0,86.81,13.19
340,002130,0,86.18,13.82
341,002766,0,89.81,10.19
342,001128,0,89.65,10.35
343,000832,0,77.17,22.83
344,002759,0,84.14,15.86
345,002911,0,90.89,9.11
346,002549,0,81.66,18.34
347,000810,0,89.04,10.96
348,002582,0,82.21,17.79
349,000817,0,80.46,19.54
350,000219,0,73.95,26.05
351,000642,0,77.15,22.85
352,002929,0,89.66,10.34
353,002115,0,87.6,12.4
354,001907,0,80.7,19.3
355,001104,0,91.0,9.0
356,001900,0,82.45,17.55
357,000228,0,85.94,14.06
358,002329,0,90.83,9.17
359,002124,0,91.07,8.93
360,000673,0,90.88,9.12
361,000441,0,88.35,11.65
362,001593,0,96.83,3.17
363,000025,0,84.34,15.66
364,001157,0,79.23,20.77
365,001533,0,93.29,6.71
366,001391,0,90.52,9.48
367,000243,0,88.22,11.78
368,002514,0,80.09,19.91
369,001954,0,90.97,9.03
370,002973,0,82.53,17.47
371,001998,0,87.01,12.99
372,001396,0,89.87,10.13
373,001534,0,79.86,20.14
374,001150,0,90.1,9.9
375,000875,0,88.35,11.65
376,000049,0,72.32,27.68
377,002525,0,89.45,10.55
378,001505,0,88.59,11.41
379,002380,0,74.41,25.59
380,001737,0,86.91,13.09
381,001161,0,92.04,7.96
382,000047,0,84.37,15.63
383,002710,0,90.59,9.41
384,002945,0,85.89,14.11
385,000827,0,89.7,10.3
386,002926,0,92.57,7.43
387,001901,0,79.84,20.16
388,002317,0,91.89,8.11
389,000672,0,90.95,9.05
390,000818,0,60.16,39.84
391,001566,0,87.77,12.23
392,001308,0,85.61,14.39
393,002579,0,89.1,10.9
394,000820,0,85.71,14.29
395,001561,0,89.82,10.18
396,002546,0,89.69,10.31
397,001765,0,84.19,15.81
398,001557,0,89.17,10.83
399,002928,0,70.41,29.59
400,002548,0,83.42,16.58
401,001339,0,75.08,24.92
402,002321,0,86.66,13.34
403,000644,0,93.42,6.58
404,002113,0,88.13,11.87
405,000287,0,84.51,15.49
406,000889,0,88.83,11.17
407,000041,0,89.71,10.29
408,001193,0,86.9,13.1
409,002716,0,89.69,10.31
410,001964,0,92.35,7.65
411,001707,0,91.26,8.74
412,000077,0,87.4,12.6
413,000621,0,87.53,12.47
414,000880,0,87.69,12.31
415,000874,0,87.65,12.35
416,002171,0,90.15,9.85
417,000414,0,89.54,10.46
418,001700,0,88.96,11.04
419,002972,0,91.57,8.43
420,000619,0,72.44,27.56
421,002986,0,91.64,8.36
422,000289,0,83.85,16.15
423,001216,0,71.99,28.01
424,000330,0,86.42,13.58
425,002699,0,88.61,11.39
426,001681,0,87.37,12.63
427,001643,0,79.05,20.95
428,001811,0,85.32,14.68
429,002238,0,65.13,34.87
430,002836,0,90.77,9.23
431,001012,0,83.95,16.05
432,002697,0,81.34,18.66
433,000762,0,82.85,17.15
434,002253,0,80.52,19.48
435,002298,0,84.27,15.73
436,000399,0,77.63,22.37
437,002402,0,91.09,8.91
438,002092,0,91.08,8.92
439,001425,0,84.98,15.02
440,001041,0,87.91,12.09
441,002865,0,86.35,13.65
442,000158,0,87.91,12.09
443,000964,0,89.76,10.24
444,000990,0,74.94,25.06
445,002434,0,83.71,16.29
446,000363,0,76.64,23.36
447,000999,0,81.75,18.25
448,000397,0,91.26,8.74
449,001626,0,87.37,12.63
450,001242,0,91.14,8.86
451,002433,0,91.05,8.95
452,002265,0,80.83,19.17
453,001887,0,82.66,17.34
454,000763,0,89.1,10.9
455,001013,0,69.29,30.71
456,000931,0,95.68,4.32
457,001470,0,90.96,9.04
458,001226,0,81.69,18.31
459,000132,0,84.34,15.66
460,002665,0,89.29,10.71
461,000764,0,81.39,18.61
462,001484,0,89.88,10.12
463,002201,0,91.06,8.94
464,000799,0,90.19,9.81
465,002806,0,88.18,11.82
466,001022,0,88.94,11.06
467,002495,0,81.41,18.59
468,000594,0,85.46,14.54
469,002839,0,90.42,9.58
470,002653,0,91.0,9.0
471,000336,0,71.18,28.82
472,002466,0,87.51,12.49
473,000593,0,84.49,15.51
474,002056,0,84.66,15.34
475,001627,0,87.6,12.4
476,001071,0,90.47,9.53
477,002855,0,83.54,16.46
478,001618,0,81.66,18.34
479,001244,0,84.55,15.45
480,001076,0,84.14,15.86
481,002263,0,89.52,10.48
482,002093,0,89.47,10.53
483,002058,0,84.45,15.55
484,002864,0,81.82,18.18
485,000159,0,84.05,15.95
486,000195,0,89.84,10.16
487,001275,0,88.55,11.45
488,001423,0,86.64,13.36
489,002609,0,88.32,11.68
490,002863,0,84.34,15.66
491,000398,0,81.44,18.56
492,001844,0,84.09,15.91
493,000068,1,53.55,46.45
494,000085,1,67.07,32.93
495,000112,1,55.46,44.54
496,000141,1,73.11,26.89
497,000160,1,84.15,15.85
498,000186,1,78.08,21.92
499,000336,1,71.18,28.82
500,000382,1,79.81,20.19
501,000393,1,86.79,13.21
502,000512,1,66.52,33.48
503,000565,1,68.18,31.82
504,000577,1,57.06,42.94
505,000614,1,66.64,33.36
506,000619,1,72.44,27.56
507,000643,1,63.27,36.73
508,000710,1,54.45,45.55
509,000722,1,81.26,18.74
510,000795,1,88.53,11.47
511,000818,1,60.16,39.84
512,000881,1,75.31,24.69
513,000917,1,72.84,27.16
514,000930,1,84.63,15.37
515,000981,1,66.82,33.18
516,000999,1,81.75,18.25
517,001020,1,78.51,21.49
518,001069,1,76.4,23.6
519,001119,1,54.21,45.79
520,001120,1,70.45,29.55
521,001144,1,66.18,33.82
522,001159,1,71.62,28.38
523,001179,1,78.26,21.74
524,001199,1,80.01,19.99
525,001212,1,69.61,30.39
526,001253,1,80.48,19.52
527,001263,1,54.31,45.69
528,001273,1,80.98,19.02
529,001327,1,73.76,26.24
530,001400,1,74.84,25.16
531,001405,1,62.67,37.33
532,001486,1,89.44,10.56
