,vidname,real,predict0,predict1
127,001761,0,78.84,21.16
128,000481,0,82.53,17.47
129,000029,0,77.14,22.86
130,002914,0,76.65,23.35
131,001554,0,81.84,18.16
132,001766,0,80.48,19.52
133,000164,0,75.86,24.14
134,000500,0,81.45,18.55
135,001270,0,73.0,27.0
136,000993,0,78.92,21.08
137,000197,0,74.45,25.55
138,001277,0,79.24,20.76
139,001613,0,79.41,20.59
140,001846,0,83.87,16.13
141,000538,0,81.55,18.45
142,002861,0,75.21,24.79
143,001073,0,78.23,21.77
144,000393,0,73.0,27.0
145,001870,0,75.95,24.05
146,002259,0,80.33,19.67
147,002605,0,80.82,19.18
148,001622,0,79.85,20.15
149,000509,0,80.81,19.19
150,002098,0,81.79,18.21
151,000562,0,71.98,28.02
152,001212,0,72.56,27.44
153,000768,0,81.79,18.21
154,002669,0,77.15,22.85
155,001027,0,75.29,24.71
156,000333,0,77.46,22.54
157,000598,0,75.43,24.57
158,001812,0,83.72,16.28
159,002499,0,80.47,19.53
160,002036,0,81.86,18.14
161,000759,0,79.02,20.98
162,001815,0,80.04,19.96
163,001224,0,82.5,17.5
164,000153,0,75.29,24.71
165,000508,0,79.31,20.69
166,000154,0,77.08,22.92
167,002603,0,74.46,25.54
168,001240,0,81.05,18.95
169,001276,0,78.43,21.57
170,001420,0,83.56,16.44
171,002090,0,79.69,20.31
172,001427,0,80.94,19.06
173,002400,0,79.69,20.31
174,000501,0,76.64,23.36
175,002269,0,78.89,21.11
176,000932,0,76.81,23.19
177,000555,0,75.45,24.55
178,002498,0,81.1,18.9
179,001813,0,82.13,17.87
180,001480,0,68.77,31.23
181,002453,0,78.95,21.05
182,000794,0,79.47,20.53
183,001825,0,81.56,18.44
184,002001,0,74.26,25.74
185,000138,0,79.55,20.45
186,002039,0,68.1,31.9
187,002234,0,74.67,25.33
188,000940,0,82.34,17.66
189,002089,0,79.93,20.07
190,000371,0,80.67,19.33
191,002614,0,71.3,28.7
192,001401,0,76.78,23.22
193,001861,0,85.39,14.61
194,002283,0,78.33,21.67
195,000712,0,81.09,18.91
196,001259,0,75.15,24.85
197,001857,0,77.32,22.68
198,001868,0,77.79,22.21
199,001054,0,79.59,20.41
200,001266,0,80.87,19.13
201,001292,0,84.09,15.91
202,000724,0,78.91,21.09
203,002410,0,84.42,15.58
204,002080,0,79.25,20.75
205,002020,0,78.01,21.99
206,002212,0,80.5,19.5
207,000545,0,80.88,19.12
208,001038,0,75.83,24.17
209,002671,0,77.09,22.91
210,001490,0,78.42,21.58
211,002824,0,79.11,20.89
212,001660,0,71.99,28.01
213,002223,0,79.83,20.17
214,001694,0,79.09,20.91
215,000322,0,75.69,24.31
216,001835,0,83.28,16.72
217,002640,0,75.56,24.44
218,000325,0,75.74,24.26
219,002016,0,80.48,19.52
220,001031,0,75.38,24.62
221,002815,0,70.94,29.06
222,000128,0,71.29,28.71
223,001832,0,66.88,33.12
224,002882,0,75.33,24.67
225,001851,0,78.74,21.26
226,000977,0,79.61,20.39
227,002278,0,79.23,20.77
228,001436,0,78.0,22.0
229,002075,0,76.42,23.58
230,002247,0,83.58,16.42
231,001258,0,73.85,26.15
232,000341,0,80.3,19.7
233,002240,0,77.79,22.21
234,002072,0,70.24,29.76
235,001603,0,82.99,17.01
236,000187,0,84.52,15.48
237,002276,0,78.27,21.73
238,000713,0,82.41,17.59
239,002878,0,83.06,16.94
240,000377,0,77.1,22.9
241,000383,0,78.33,21.67
242,001400,0,77.36,22.64
243,000142,0,81.48,18.52
244,000370,0,77.36,22.64
245,002271,0,80.34,19.66
246,000526,0,75.54,24.46
247,001666,0,78.05,21.95
248,002010,0,72.77,27.23
249,000747,0,77.99,22.01
250,001205,0,75.91,24.09
251,000778,0,77.0,23.0
252,002813,0,81.46,18.54
253,001834,0,81.98,18.02
254,001465,0,81.17,18.83
255,000924,0,76.72,23.28
256,002683,0,79.77,20.23
257,001462,0,82.54,17.46
258,000782,0,75.12,24.88
259,000544,0,82.31,17.69
260,002021,0,72.73,27.27
261,000312,0,71.04,28.96
262,001805,0,76.05,23.95
263,000260,0,78.28,21.72
264,002705,0,76.96,23.04
265,001528,0,79.14,20.86
266,001725,0,77.2,22.8
267,000603,0,77.37,22.63
268,000431,0,81.89,18.11
269,000055,0,77.93,22.07
270,001187,0,74.14,25.86
271,002961,0,79.46,20.54
272,002196,0,79.83,20.17
273,001713,0,79.69,20.31
274,001979,0,81.03,18.97
275,002162,0,81.97,18.03
276,000867,0,77.2,22.8
277,002966,0,81.47,18.53
278,000893,0,73.04,26.96
279,002357,0,83.84,16.16
280,002959,0,80.97,19.03
281,001384,0,82.59,17.41
282,000256,0,75.27,24.73
283,000064,0,74.52,25.48
284,000858,0,76.43,23.57
285,001116,0,81.32,18.68
286,001740,0,82.62,17.38
287,000659,0,82.74,17.26
288,001129,0,76.84,23.16
289,000205,0,75.63,24.37
290,001778,0,75.26,24.74
291,001543,0,77.58,22.42
292,002100,0,84.54,15.46
293,001785,0,69.34,30.66
294,002756,0,77.37,22.63
295,000668,0,80.8,19.2
296,001588,0,83.71,16.29
297,000234,0,81.94,18.06
298,001782,0,78.4,21.6
299,001776,0,78.11,21.89
300,001544,0,75.91,24.09
301,001120,0,79.69,20.31
302,001749,0,70.9,29.1
303,001940,0,83.6,16.4
304,000268,0,83.63,16.37
305,002958,0,79.7,20.3
306,000401,0,84.6,15.4
307,002960,0,81.53,18.47
308,002351,0,79.26,20.74
309,002163,0,77.59,22.41
310,002197,0,79.63,20.37
311,001712,0,77.61,22.39
312,002367,0,81.15,18.85
313,000266,0,79.4,20.6
314,000868,0,73.95,26.05
315,000292,0,77.17,22.83
316,001172,0,81.08,18.92
317,001724,0,73.2,26.8
318,001378,0,81.44,18.56
319,001976,0,80.82,19.18
320,001982,0,83.1,16.9
321,001949,0,84.55,15.45
322,001175,0,78.92,21.08
323,001347,0,77.32,22.68
324,002704,0,77.64,22.36
325,000261,0,81.18,18.82
326,002139,0,82.05,17.95
327,001126,0,84.2,15.8
328,001542,0,69.67,30.33
329,001925,0,81.13,18.87
330,002553,0,82.84,17.16
331,001580,0,81.91,18.09
332,002795,0,74.15,25.85
333,002108,0,80.2,19.8
334,002598,0,80.2,19.8
335,001913,0,75.55,24.45
336,000499,0,75.87,24.13
337,001779,0,80.44,19.56
338,001573,0,84.36,15.64
339,000667,0,81.65,18.35
340,002130,0,80.92,19.08
341,002766,0,76.58,23.42
342,001128,0,83.14,16.86
343,000832,0,73.05,26.95
344,002759,0,79.56,20.44
345,002911,0,79.2,20.8
346,002549,0,73.3,26.7
347,000810,0,82.65,17.35
348,002582,0,74.0,26.0
349,000817,0,74.63,25.37
350,000219,0,68.66,31.34
351,000642,0,76.01,23.99
352,002929,0,81.27,18.73
353,002115,0,80.15,19.85
354,001907,0,79.18,20.82
355,001104,0,74.98,25.02
356,001900,0,76.49,23.51
357,000228,0,67.16,32.84
358,002329,0,76.14,23.86
359,002124,0,77.17,22.83
360,000673,0,84.43,15.57
361,000441,0,79.75,20.25
362,001593,0,80.71,19.29
363,000025,0,81.49,18.51
364,001157,0,71.57,28.43
365,001533,0,77.21,22.79
366,001391,0,75.0,25.0
367,000243,0,76.48,23.52
368,002514,0,74.75,25.25
369,001954,0,76.83,23.17
370,002973,0,80.99,19.01
371,001998,0,74.59,25.41
372,001396,0,75.19,24.81
373,001534,0,82.09,17.91
374,001150,0,77.66,22.34
375,000875,0,76.27,23.73
376,000049,0,78.28,21.72
377,002525,0,77.56,22.44
378,001505,0,73.31,26.69
379,002380,0,76.25,23.75
380,001737,0,78.86,21.14
381,001161,0,80.99,19.01
382,000047,0,75.76,24.24
383,002710,0,81.85,18.15
384,002945,0,79.29,20.71
385,000827,0,76.27,23.73
386,002926,0,80.32,19.68
387,001901,0,75.64,24.36
388,002317,0,80.01,19.99
389,000672,0,77.72,22.28
390,000818,0,77.01,22.99
391,001566,0,82.73,17.27
392,001308,0,83.14,16.86
393,002579,0,82.85,17.15
394,000820,0,78.66,21.34
395,001561,0,79.12,20.88
396,002546,0,82.18,17.82
397,001765,0,81.64,18.36
398,001557,0,77.86,22.14
399,002928,0,81.7,18.3
400,002548,0,80.35,19.65
401,001339,0,75.27,24.73
402,002321,0,77.7,22.3
403,000644,0,80.01,19.99
404,002113,0,81.59,18.41
405,000287,0,83.0,17.0
406,000889,0,75.89,24.11
407,000041,0,84.64,15.36
408,001193,0,80.17,19.83
409,002716,0,78.63,21.37
410,001964,0,77.27,22.73
411,001707,0,80.68,19.32
412,000077,0,77.17,22.83
413,000621,0,77.69,22.31
414,000880,0,82.69,17.31
415,000874,0,79.61,20.39
416,002171,0,77.09,22.91
417,000414,0,80.88,19.12
418,001700,0,81.21,18.79
419,002972,0,77.48,22.52
420,000619,0,70.73,29.27
421,002986,0,72.11,27.89
422,000289,0,82.6,17.4
423,001216,0,72.46,27.54
424,000330,0,79.32,20.68
425,002699,0,70.29,29.71
426,001681,0,82.91,17.09
427,001643,0,78.52,21.48
428,001811,0,82.46,17.54
429,002238,0,81.23,18.77
430,002836,0,78.55,21.45
431,001012,0,74.92,25.08
432,002697,0,77.32,22.68
433,000762,0,80.86,19.14
434,002253,0,78.3,21.7
435,002298,0,81.65,18.35
436,000399,0,76.38,23.62
437,002402,0,77.52,22.48
438,002092,0,80.24,19.76
439,001425,0,76.14,23.86
440,001041,0,79.39,20.61
441,002865,0,80.01,19.99
442,000158,0,82.5,17.5
443,000964,0,78.94,21.06
444,000990,0,75.84,24.16
445,002434,0,79.06,20.94
446,000363,0,77.33,22.67
447,000999,0,75.67,24.33
448,000397,0,75.56,24.44
449,001626,0,83.23,16.77
450,001242,0,79.16,20.84
451,002433,0,74.58,25.42
452,002265,0,81.98,18.02
453,001887,0,71.79,28.21
454,000763,0,80.52,19.48
455,001013,0,72.52,27.48
456,000931,0,64.64,35.36
457,001470,0,78.81,21.19
458,001226,0,76.31,23.69
459,000132,0,85.04,14.96
460,002665,0,79.3,20.7
461,000764,0,79.78,20.22
462,001484,0,78.06,21.94
463,002201,0,74.47,25.53
464,000799,0,77.71,22.29
465,002806,0,78.7,21.3
466,001022,0,81.04,18.96
467,002495,0,77.57,22.43
468,000594,0,68.91,31.09
469,002839,0,80.11,19.89
470,002653,0,77.22,22.78
471,000336,0,76.62,23.38
472,002466,0,82.73,17.27
473,000593,0,69.91,30.09
474,002056,0,77.69,22.31
475,001627,0,75.88,24.12
476,001071,0,81.72,18.28
477,002855,0,79.11,20.89
478,001618,0,72.07,27.93
479,001244,0,80.43,19.57
480,001076,0,81.56,18.44
481,002263,0,81.4,18.6
482,002093,0,78.51,21.49
483,002058,0,78.43,21.57
484,002864,0,79.14,20.86
485,000159,0,82.62,17.38
486,000195,0,74.04,25.96
487,001275,0,80.12,19.88
488,001423,0,76.23,23.77
489,002609,0,77.14,22.86
490,002863,0,84.84,15.16
491,000398,0,76.37,23.63
492,001844,0,78.85,21.15
493,000068,1,75.55,24.45
494,000085,1,69.25,30.75
495,000112,1,80.73,19.27
496,000141,1,74.62,25.38
497,000160,1,82.0,18.0
498,000186,1,78.14,21.86
499,000336,1,76.62,23.38
500,000382,1,77.08,22.92
501,000393,1,73.0,27.0
502,000512,1,76.51,23.49
503,000565,1,77.71,22.29
504,000577,1,74.24,25.76
505,000614,1,75.67,24.33
506,000619,1,70.73,29.27
507,000643,1,70.27,29.73
508,000710,1,73.73,26.27
509,000722,1,78.86,21.14
510,000795,1,78.51,21.49
511,000818,1,77.01,22.99
512,000881,1,77.75,22.25
513,000917,1,77.81,22.19
514,000930,1,78.9,21.1
515,000981,1,81.62,18.38
516,000999,1,75.67,24.33
517,001020,1,78.07,21.93
518,001069,1,74.68,25.32
519,001119,1,73.7,26.3
520,001120,1,79.69,20.31
521,001144,1,74.34,25.66
522,001159,1,80.49,19.51
523,001179,1,75.23,24.77
524,001199,1,75.32,24.68
525,001212,1,72.56,27.44
526,001253,1,74.1,25.9
527,001263,1,78.37,21.63
528,001273,1,79.42,20.58
529,001327,1,81.08,18.92
530,001400,1,77.36,22.64
531,001405,1,74.39,25.61
532,001486,1,75.39,24.61
